TckrSymb	Dt	OpnIntrst	FrstPric	MinPric	MaxPric	TradAvrgPric	LastPric
CPLEB680E	2022-02-04	-	6.71	6.71	6.71	6.71	6.71
GOAUO135	2022-02-04	11200	1.61	1.61	1.61	1.61	1.61
VALEN817	2022-02-04	159600	9	7.55	9	8.23	7.55
VALED10	2022-02-04	154700	15.97	15.97	16.42	16.26	16.2
VALEP106	2022-02-04	137600	9.2	9.2	9.2	9.2	9.2
VALEC90	2022-02-04	6320000	2.74	2.55	3.32	2.79	3.22
GGBRN254	2022-02-04	123100	0.1	0.07	0.1	0.07	0.07
VALED132	2022-02-04	102000	0.11	0.11	0.12	0.11	0.12
GGBRN291	2022-02-04	140200	0.88	0.88	0.95	0.93	0.95
VALEC703	2022-02-04	24100	18.25	18.25	18.25	18.25	18.25
VALED901	2022-02-04	377300	4.59	4.59	4.9	4.75	4.85
GGBRN261	2022-02-04	442300	0.16	0.1	0.16	0.12	0.1
VALEB722	2022-02-04	104900	14.21	14.11	14.65	14.4	14.65
VALEP10	2022-02-04	110600	8.7	8.7	8.8	8.79	8.8
GGBRB314	2022-02-04	276000	0.11	0.11	0.11	0.11	0.11
VALEK799	2022-02-04	8900	26.03	26.03	26.18	26.1	26.18
VALEE130	2022-02-04	19000	0.17	0.17	0.17	0.17	0.17
VALEB752	2022-02-04	612400	11.3	11.3	13.08	11.64	13.08
VALEN632	2022-02-04	534200	0.03	0.02	0.03	0.02	0.02
GGBRN264	2022-02-04	355800	0.16	0.13	0.19	0.16	0.14
VALEO793	2022-02-04	102300	1.39	1	1.42	1.17	1
VALEO693	2022-02-04	152900	0.35	0.34	0.35	0.34	0.34
GGBRB286	2022-02-04	157400	0.81	0.7	0.94	0.79	0.77
VALEB817	2022-02-04	1100500	0.21	0.2	0.32	0.26	0.29
VALEB802	2022-02-04	1328300	6.82	6.5	8.44	7.75	8.35
VALEB702	2022-02-04	166500	16.52	15.81	18.13	16.83	18.01
VALEO988	2022-02-04	47000	10.98	10.59	10.98	10.97	10.59
VALEB797	2022-02-04	2239200	0.33	0.33	0.59	0.51	0.56
VALEB822	2022-02-04	994300	5.1	4.85	6.55	6.18	6.5
VALEN877	2022-02-04	78300	14.99	13.03	14.99	14.3	13.03
VALEB772	2022-02-04	231700	9.6	9.6	10.97	10.91	10.75
VALEO398	2022-02-04	200000	0.02	0.01	0.02	0.01	0.01
GGBRB324	2022-02-04	155500	0.05	0.05	0.05	0.05	0.05
VALEO623	2022-02-04	9500	0.17	0.17	0.17	0.17	0.17
VALED100	2022-02-04	20300	5.05	5.05	5.05	5.05	5.05
GOAUB125	2022-02-04	543300	0.09	0.08	0.11	0.09	0.09
GGBRB299	2022-02-04	334400	0.36	0.28	0.4	0.31	0.34
GGBRC314	2022-02-04	1272200	0.53	0.49	0.53	0.5	0.51
VALEO628	2022-02-04	7700	9.88	9.88	9.88	9.88	9.88
GGBRN295	2022-02-04	209900	0.42	0.4	0.44	0.41	0.44
VALEN832	2022-02-04	2064300	1.21	0.59	1.26	0.89	0.6
GGBRN286	2022-02-04	60100	0.72	0.64	0.85	0.76	0.64
VALEP710	2022-02-04	92900	0.72	0.6	0.9	0.89	0.6
VALEC878	2022-02-04	989500	3.85	3.77	4.46	4.22	4.46
VALEO803	2022-02-04	220700	1.68	1.17	1.68	1.33	1.17
VALEN994	2022-02-04	514100	5.69	3.84	5.69	4.29	3.96
GOAUB120	2022-02-04	448800	0.24	0.2	0.25	0.21	0.24
VALEC107	2022-02-04	124800	0.19	0.13	0.21	0.16	0.21
